controller,scenario,success,rmse_h,max_abs_h,rmse_theta_deg,max_abs_theta_deg,rmse_v,sat_ratio,failure_reason
lqr,A_impulse_push,1,0.00346442,0.0121094,0.215599,1.00146,0.115237,0,none
wbc_qp,A_impulse_push,1,1.00679e-06,2.12283e-06,9.19125e-06,2.37136e-05,0.167974,0,none
rl_ppo,A_impulse_push,1,0.00267674,0.00282427,2.1388,2.32321,0.202354,0,none
lqr,B_constant_push,1,0.0767949,0.0816501,4.12508,4.28564,0.2503,0,none
wbc_qp,B_constant_push,1,6.51318e-07,1.92953e-06,6.57288e-06,2.05438e-05,0.251906,0,none
rl_ppo,B_constant_push,1,0.00320508,0.00338311,1.97938,2.19777,0.303009,0,none
lqr,C_rough_terrain,1,0.0143219,0.0250137,0.0769708,0.135477,0.287322,0,none
wbc_qp,C_rough_terrain,1,0.00964621,0.016053,0.0523071,0.0937519,0.166519,0.124012,none
rl_ppo,C_rough_terrain,1,0.00772376,0.0148927,2.17238,2.3946,0.460033,0.062422,none
lqr,C_noise_terrain,1,0.00178917,0.00572958,0.0100375,0.0346833,0.11073,0,none
wbc_qp,C_noise_terrain,1,0.000855631,0.00456551,7.30231e-06,2.10866e-05,0.16801,0.000416146,none
rl_ppo,C_noise_terrain,1,0.00273327,0.00469089,2.14,2.32332,0.195479,0,none
