controller,scenario,success,rmse_h,max_abs_h,rmse_theta_deg,max_abs_theta_deg,rmse_v,sat_ratio,failure_reason,qp_success_ratio,qp_solver_success_ratio,qp_fallback_ratio,mean_qp_iterations,mean_qp_solve_time_ms,max_qp_solve_time_ms,max_qp_primal_residual,max_qp_dual_residual,max_qp_eq_residual,max_qp_ineq_violation,max_qp_friction_ratio,max_qp_leg_slack,max_qp_height_slack
lqr,A_impulse_push,1,0.0131259,0.0452179,0.183444,0.550904,0.277174,0,none,,,,,,,,,,,,,
wbc_qp,A_impulse_push,1,1.1158e-07,1.29582e-07,3.19791e-06,4.54115e-06,0.13672,0,none,1,1,0,69.1011,0.0460263,0.2142,1.07303e-13,1.36242e-10,1.13687e-13,0,0.3846,0,0
rl_ppo,A_impulse_push,1,0.00627052,0.00701438,2.16455,2.30312,0.207828,0,none,,,,,,,,,,,,,
rl_ppo_direct,A_impulse_push,1,0.0011858,0.00202614,0.453123,1.71523,0.0331944,0,none,,,,,,,,,,,,,
lqr,B_constant_push,1,0.0329713,0.0369563,0.61277,0.72667,0.716189,0,none,,,,,,,,,,,,,
wbc_qp,B_constant_push,1,1.02392e-07,1.28233e-07,2.50918e-06,4.44615e-06,0.194735,0,none,1,1,0,98.6891,0.0653669,0.2737,1.44355e-13,6.95979e-11,1.13687e-13,0,0.372557,0,0
rl_ppo,B_constant_push,1,0.00649313,0.00758599,2.61278,2.75236,0.378049,0,none,,,,,,,,,,,,,
rl_ppo_direct,B_constant_push,1,0.00591087,0.00646457,1.38255,1.61868,0.0373957,0,none,,,,,,,,,,,,,
lqr,C_rough_terrain,1,0.0351432,0.119959,0.337325,0.935526,0.563742,0,none,,,,,,,,,,,,,
wbc_qp,C_rough_terrain,1,0.000199234,0.000669483,0.00556462,0.012496,0.162961,0.0291303,none,1,1,0,256.211,0.13681,1.3427,3.26579e-13,5.55459e-10,3.12639e-13,0,0.721906,0,0
rl_ppo,C_rough_terrain,1,0.0160703,0.065041,2.21181,2.60334,0.456717,0.0337079,none,,,,,,,,,,,,,
rl_ppo_direct,C_rough_terrain,1,0.00308006,0.0152225,1.26121,3.39796,0.0321424,0.0183104,none,,,,,,,,,,,,,
lqr,C_noise_terrain,1,0.0166902,0.0431558,0.176964,0.528042,0.26502,0,none,,,,,,,,,,,,,
wbc_qp,C_noise_terrain,1,2.4831e-05,6.09078e-05,0.000109199,0.000351822,0.134539,0,none,1,1,0,227.809,0.118349,1.6576,1.08349e-13,5.66787e-11,1.7053e-13,0,0.368075,0,0
rl_ppo,C_noise_terrain,1,0.00771681,0.0126452,2.16238,2.31007,0.203843,0,none,,,,,,,,,,,,,
rl_ppo_direct,C_noise_terrain,1,0.00113414,0.00215132,0.449213,1.6075,0.0301187,0,none,,,,,,,,,,,,,
lqr,D_large_irregular_terrain,1,0.012245,0.0367394,0.130209,0.401421,0.267238,0,none,,,,,,,,,,,,,
wbc_qp,D_large_irregular_terrain,1,0.000140658,0.000373828,0.00528322,0.0114472,0.134869,0.0166459,none,1,1,0,220.787,0.120643,2.8419,1.45901e-13,5.01289e-11,1.7053e-13,0,0.738495,0,0
rl_ppo,D_large_irregular_terrain,1,0.00697024,0.0143683,2.18999,2.37638,0.242131,0,none,,,,,,,,,,,,,
rl_ppo_direct,D_large_irregular_terrain,1,0.00137421,0.00431601,0.949971,2.30264,0.0319872,0.00457761,none,,,,,,,,,,,,,
lqr,E_combined_stress,1,0.027797,0.0465068,0.49056,0.699141,0.583288,0,none,,,,,,,,,,,,,
wbc_qp,E_combined_stress,1,0.000193159,0.000538514,0.0116532,0.0207308,0.199604,0.0162297,none,1,1,0,220.63,0.123608,1.9122,1.45901e-13,2.73628e-11,1.13687e-13,0,0.750669,0,0
rl_ppo,E_combined_stress,1,0.00682578,0.0126715,2.61513,2.79479,0.31866,0.00166459,none,,,,,,,,,,,,,
rl_ppo_direct,E_combined_stress,1,0.00518021,0.00813953,1.34637,2.85075,0.0351982,0.00832293,none,,,,,,,,,,,,,
lqr,F_high_speed_flat,1,0.0317945,0.111628,0.369949,1.13247,0.66862,0,none,,,,,,,,,,,,,
wbc_qp,F_high_speed_flat,1,0.00205796,0.0072251,0.0393851,0.139383,0.711424,0.0632543,none,1,1,0,131.367,0.0773345,0.9102,1.94533e-13,6.95979e-11,1.7053e-13,0,0.503638,0,0
rl_ppo,F_high_speed_flat,1,0.0174302,0.0695724,3.00367,4.0707,0.520044,0.0466084,none,,,,,,,,,,,,,
rl_ppo_direct,F_high_speed_flat,1,0.0229629,0.0843808,2.81143,3.61815,0.294216,0.0636704,none,,,,,,,,,,,,,
lqr,G_requirement_boundary,1,0.048815,0.102587,0.821236,0.948429,1.07535,0.00790678,none,,,,,,,,,,,,,
wbc_qp,G_requirement_boundary,1,0.000427596,0.00189108,0.0141035,0.0331627,0.388153,0.0270495,none,1,1,0,231.929,0.125462,1.5375,3.26579e-13,5.55459e-10,3.12639e-13,0,0.768324,0,0
rl_ppo,G_requirement_boundary,1,0.010703,0.0401686,3.01753,3.45545,0.636422,0.0432792,none,,,,,,,,,,,,,
rl_ppo_direct,G_requirement_boundary,1,0.0153564,0.0216753,4.05632,4.7711,0.158749,0.0407824,none,,,,,,,,,,,,,
